jee_main_score,jee_advanced_score,class_12_percent,daily_study_hours,family_income,peer_pressure_level,admission_taken,dropout
67.59,71.77,69.11,4.6,High,Low,Yes,0
82.63,74.07,78.96,4.2,High,Low,Yes,0
61.18,70.66,67.72,4.8,Low,High,No,1
68.68,57.89,71.45,7.0,Low,High,No,1
65.2,57.78,96.27,6.6,Low,Medium,No,1
73.15,46.82,56.55,2.1,Low,High,Yes,0
100.0,94.56,67.45,6.5,Low,Low,Yes,0
45.86,66.22,93.97,6.9,Mid,Medium,No,0
81.61,62.4,74.55,4.2,Low,Medium,No,1
49.42,51.14,67.94,5.5,High,Medium,Yes,0
65.39,100.0,86.69,5.5,Mid,High,No,0
87.25,48.83,75.55,2.8,High,Medium,Yes,0
72.9,59.14,71.52,3.7,Mid,Medium,Yes,0
56.91,72.65,76.92,6.0,Mid,Low,No,0
61.99,75.6,68.42,3.5,Low,Medium,Yes,0
81.51,81.33,64.83,6.5,High,High,Yes,0
61.77,94.92,73.86,7.1,Low,Medium,No,1
75.03,74.1,64.89,6.8,High,High,Yes,0
72.64,49.1,75.11,8.5,High,Low,Yes,0
62.88,61.89,78.54,4.3,Low,Low,No,1
100.0,70.93,83.53,4.9,Low,Medium,Yes,0
80.87,99.09,86.28,5.1,Mid,Low,Yes,0
43.65,43.64,70.94,4.4,Mid,Medium,Yes,0
74.61,85.24,79.99,5.6,Mid,Low,No,0
62.73,68.88,79.93,1.1,High,Low,Yes,0
83.93,79.41,78.28,4.9,Low,High,No,1
60.9,64.37,70.21,1.7,Mid,High,Yes,1
70.39,52.52,64.72,2.6,Low,Medium,No,1
79.07,78.01,80.02,6.0,Mid,Medium,No,0
84.12,76.47,57.93,4.1,Mid,High,Yes,0
55.2,81.55,72.32,5.9,Low,Low,No,1
67.32,65.79,50.0,4.1,Mid,Medium,Yes,0
65.35,56.4,61.64,6.7,Low,Low,Yes,0
62.85,41.06,66.23,4.0,Mid,High,No,0
96.72,79.11,85.97,0.6,Low,Low,Yes,0
77.67,72.78,81.88,5.0,Mid,Low,No,0
54.35,50.55,69.46,0.2,Mid,Medium,Yes,0
84.85,57.38,82.29,1.6,High,Low,No,0
100.0,58.53,83.88,2.7,Low,High,No,1
86.45,42.27,73.39,2.5,Mid,Low,Yes,0
50.73,52.92,61.16,3.4,High,High,Yes,0
65.22,47.86,72.92,2.4,Low,High,Yes,0
89.74,59.4,74.02,1.7,Mid,Medium,Yes,0
62.09,54.18,62.68,7.6,Mid,High,No,0
78.21,39.97,78.67,3.1,Mid,High,Yes,0
82.84,98.36,77.8,0.0,Low,Medium,No,1
59.02,86.04,79.45,3.8,High,Medium,No,0
71.17,53.54,77.79,2.3,Mid,Medium,Yes,0
26.62,70.36,82.3,2.7,High,High,Yes,0
57.66,72.68,73.21,5.9,Low,Medium,No,1
68.46,85.06,77.02,3.6,Low,High,No,1
54.53,52.9,71.02,2.2,Mid,High,Yes,0
94.85,83.47,69.16,5.4,Mid,High,Yes,0
51.98,57.23,88.38,6.8,Mid,Medium,No,0
65.84,44.63,54.56,5.6,High,High,Yes,0
73.83,77.59,83.77,0.0,High,High,No,1
92.18,86.65,68.79,2.3,Mid,Medium,No,0
51.9,100.0,67.5,4.6,Low,Medium,No,1
88.28,46.8,77.62,4.0,Low,High,Yes,0
72.14,77.18,60.1,3.8,Mid,High,No,0
58.26,59.44,66.84,2.5,High,High,Yes,0
78.47,78.53,66.51,1.7,Low,Medium,Yes,0
74.79,42.47,72.79,8.5,High,Medium,No,0
63.6,45.8,66.96,4.6,Mid,Low,No,0
72.98,53.59,91.01,5.8,High,Medium,Yes,0
66.61,67.26,92.97,4.5,High,High,Yes,0
73.59,55.74,54.78,4.6,High,Medium,Yes,0
81.27,76.54,80.44,4.4,Low,Medium,Yes,0
94.2,82.43,83.59,2.3,High,Low,No,0
54.67,75.59,80.43,1.5,High,Low,Yes,0
100.0,91.9,68.42,5.3,High,High,Yes,0
44.67,72.65,72.56,4.9,Mid,Low,Yes,0
69.88,46.53,67.52,6.4,High,High,No,0
80.24,87.81,70.8,6.0,High,High,Yes,0
75.93,56.32,62.9,2.9,Low,High,Yes,0
63.28,80.57,73.85,6.8,Mid,High,Yes,0
69.09,91.18,59.97,6.0,High,Low,Yes,0
65.1,73.31,73.0,5.9,Low,High,Yes,0
63.75,42.06,62.51,9.0,Low,High,No,1
83.89,51.31,77.07,8.6,High,Medium,Yes,0
77.0,87.16,68.21,5.9,Low,High,No,1
62.3,63.29,77.91,5.6,Low,Medium,No,1
84.59,67.27,85.82,6.7,Low,Low,Yes,0
76.3,78.14,90.89,3.3,Low,Medium,Yes,0
83.38,77.14,50.0,3.4,High,Low,No,0
80.81,70.46,66.66,5.8,High,Low,No,0
60.39,62.66,71.97,2.8,Low,Medium,No,1
64.16,61.0,79.6,5.7,High,Low,No,0
82.46,79.73,58.5,4.8,High,Low,No,0
80.55,74.86,65.18,2.8,Low,Low,Yes,0
71.71,61.88,76.3,4.6,Low,Medium,Yes,0
73.64,83.31,75.85,7.1,Low,Low,Yes,0
89.89,63.94,78.78,4.7,High,High,No,0
63.72,52.37,79.44,4.7,High,Medium,Yes,0
79.66,53.86,78.39,5.2,Mid,High,Yes,0
69.17,50.34,76.94,5.4,Mid,Medium,No,0
68.95,61.64,75.56,3.8,Low,High,Yes,0
87.38,85.74,81.65,5.2,Mid,Low,No,0
83.56,53.12,52.61,2.4,High,High,No,0
83.39,69.02,90.44,2.9,Mid,High,No,0
90.28,55.49,52.96,3.2,Mid,High,Yes,0
72.29,61.84,64.21,5.4,Low,Medium,No,1
81.55,41.84,72.73,4.8,High,Low,Yes,0
67.66,62.47,81.73,4.2,High,Low,No,0
76.54,62.9,50.0,5.9,High,High,Yes,0
70.18,74.64,74.72,5.3,High,High,No,0
73.36,69.57,82.92,3.9,Mid,Medium,Yes,0
80.33,46.83,84.95,2.4,Low,High,No,1
60.54,83.35,68.03,2.9,Mid,High,Yes,0
100.0,69.36,71.99,1.6,High,High,Yes,1
57.92,69.17,68.84,4.8,Low,Medium,Yes,0
55.0,65.85,71.07,2.8,Low,High,No,1
88.21,57.72,64.68,3.5,High,High,No,0
83.08,69.48,66.11,4.2,High,High,Yes,0
80.74,73.61,79.34,6.6,Low,Medium,Yes,0
80.8,38.05,76.32,6.4,High,Medium,Yes,0
71.83,57.38,79.92,4.4,High,Low,No,0
59.44,61.92,77.14,7.0,High,Medium,Yes,0
73.06,70.1,82.04,0.5,High,Low,No,0
62.52,85.09,83.78,8.3,Low,Low,Yes,0
85.65,53.65,57.58,5.9,Low,High,No,1
69.94,58.03,66.46,4.7,Mid,Low,Yes,0
60.44,57.8,72.69,2.7,Mid,High,No,0
67.5,53.18,74.77,3.6,Low,Medium,No,1
77.78,60.45,68.3,5.7,Mid,Medium,Yes,0
64.11,78.33,84.12,5.8,High,Low,Yes,0
60.49,49.14,94.8,5.8,High,High,Yes,0
75.41,72.85,76.86,3.0,Low,Low,Yes,0
75.43,38.77,75.84,2.6,Mid,Low,Yes,0
64.9,57.02,83.49,4.9,High,Medium,No,0
65.41,60.73,56.34,6.0,Mid,Low,No,0
75.25,92.8,75.28,4.5,Low,High,No,1
51.73,61.6,84.79,7.5,Low,Medium,Yes,0
52.3,30.78,68.57,4.6,Mid,Medium,No,0
61.94,34.02,62.73,4.5,Low,Low,Yes,0
69.01,66.54,73.14,5.8,High,Low,No,0
76.35,75.82,74.39,6.9,High,Low,No,0
92.65,72.01,65.91,1.8,Mid,High,Yes,1
84.01,68.68,95.96,2.3,Mid,Low,Yes,0
69.76,84.6,70.21,3.9,Low,High,Yes,0
71.73,57.37,63.46,10.0,Low,Low,No,1
57.96,80.32,74.06,4.0,Mid,Low,No,0
71.74,39.89,84.08,4.3,Low,Medium,No,1
67.96,51.52,75.17,5.7,Mid,Medium,Yes,0
76.52,37.09,79.86,6.5,Mid,High,No,0
60.42,61.6,66.28,4.8,High,Low,No,0
79.27,65.26,89.88,6.8,Low,High,No,1
93.46,67.83,80.62,2.1,Mid,Medium,Yes,0
70.48,66.99,85.48,3.0,High,Medium,No,0
77.62,51.16,78.65,6.8,Mid,Medium,No,0
81.66,62.96,83.25,4.5,Low,Medium,No,1
66.38,42.04,66.27,2.0,High,High,No,0
75.14,87.81,70.09,1.9,Low,Low,Yes,0
72.18,61.14,88.46,2.9,High,High,No,0
73.37,58.18,90.6,4.5,Low,Low,Yes,0
61.18,91.42,63.53,5.4,Mid,Medium,No,0
72.34,46.12,77.5,3.8,Mid,High,Yes,0
78.97,47.99,70.69,5.3,Mid,Low,No,0
92.32,48.46,68.03,3.6,Low,Low,Yes,0
85.43,64.91,77.85,6.9,High,Medium,No,0
100.0,72.91,86.41,9.6,Low,Low,No,1
61.26,77.83,79.52,3.7,Mid,Low,No,0
84.21,100.0,71.8,5.5,Low,High,No,1
74.57,30.01,80.15,5.3,High,Medium,Yes,0
100.0,75.74,71.4,4.8,Mid,Medium,Yes,0
60.68,57.09,79.12,5.8,Low,Low,Yes,0
60.24,56.62,88.96,5.5,Mid,Low,No,0
63.61,56.08,54.23,3.6,Low,Medium,Yes,0
42.27,51.46,82.97,7.1,Low,Medium,No,1
64.64,92.95,59.61,4.9,Mid,Medium,Yes,0
61.37,79.48,87.28,3.7,High,Low,No,0
74.11,66.37,68.63,9.4,Mid,Low,No,0
76.78,87.62,62.82,4.3,High,Medium,No,0
98.27,41.8,81.95,5.0,Mid,Medium,No,0
85.31,44.71,78.64,4.9,Mid,Low,No,0
63.92,31.15,65.01,4.2,Mid,Low,Yes,0
59.42,54.81,62.47,5.4,Low,Low,No,1
78.89,68.59,73.13,2.8,Low,High,Yes,0
53.52,67.65,62.96,5.7,High,Medium,Yes,0
97.64,68.39,64.39,1.0,Mid,High,No,1
88.51,43.42,76.16,1.9,Low,High,No,1
65.43,78.85,65.34,8.2,Low,Low,Yes,0
48.02,69.83,79.27,2.0,Mid,Medium,Yes,0
90.95,77.73,89.9,0.6,Mid,Low,No,0
70.4,35.72,73.51,2.0,Mid,Low,Yes,0
89.33,70.98,76.3,8.0,High,Low,Yes,0
49.68,47.0,95.18,0.9,Mid,Low,Yes,1
63.61,59.64,63.12,2.6,Low,Medium,No,1
72.07,74.55,86.91,1.6,Low,Medium,Yes,0
72.66,67.46,85.71,4.0,Mid,Low,No,0
65.7,52.38,83.54,3.6,High,High,Yes,0
80.72,66.1,87.92,3.5,High,Low,Yes,0
57.05,41.5,77.81,8.2,Low,High,No,1
70.01,84.4,69.17,2.1,High,High,No,0
73.68,62.72,85.95,4.3,Mid,Low,No,0
79.2,83.9,86.33,5.2,High,Medium,No,0
81.96,57.58,86.05,2.5,High,Low,Yes,0
56.26,57.62,75.45,5.5,Low,Medium,Yes,0
50.52,53.77,67.84,3.7,Low,High,Yes,0
89.89,80.02,76.91,5.2,Low,Medium,Yes,0
76.65,54.65,84.42,4.3,High,Medium,Yes,0
61.52,76.31,85.24,0.4,Low,Medium,Yes,0
93.72,59.88,70.7,7.1,Low,Low,Yes,0
73.62,34.38,78.15,8.6,High,High,No,0
88.51,56.87,61.91,4.1,High,High,Yes,0
72.95,47.13,84.85,2.7,High,Medium,No,0
100.0,66.54,67.17,7.5,Mid,High,Yes,0
96.57,46.95,82.85,8.3,Mid,Medium,Yes,0
68.51,80.82,63.51,4.2,High,Medium,Yes,0
85.6,64.54,85.31,4.1,Low,Medium,Yes,0
81.04,63.16,78.22,4.3,High,Medium,No,0
91.16,76.49,67.19,1.2,Mid,Low,Yes,0
58.49,81.42,81.91,3.9,Low,Medium,Yes,0
81.6,65.68,69.1,7.9,Mid,High,Yes,0
86.82,53.66,82.5,4.2,Mid,Low,Yes,0
47.38,37.62,72.26,2.4,Mid,High,Yes,1
55.43,55.02,57.79,5.5,Mid,Low,Yes,0
43.45,56.12,65.18,3.2,Low,Medium,No,1
68.23,67.71,70.7,4.4,High,Low,No,0
82.05,60.48,88.68,2.0,Low,High,No,1
93.03,77.01,84.01,2.4,High,Low,No,0
73.04,56.19,91.24,6.0,High,Low,No,0
94.8,65.09,91.54,4.7,Low,Medium,No,1
52.68,84.94,69.65,2.9,High,Medium,No,0
48.15,71.47,73.12,4.7,Low,Low,Yes,0
71.22,65.04,70.89,3.3,Low,Medium,No,1
77.38,56.37,68.28,2.9,High,Medium,No,0
71.54,55.87,56.59,6.8,High,Low,No,0
43.06,52.39,74.85,6.1,Mid,High,No,0
70.75,57.34,62.14,4.5,High,Medium,Yes,0
53.74,78.09,74.66,4.8,High,Low,No,0
81.38,62.45,96.16,4.5,High,Low,No,0
77.13,44.4,69.91,5.5,Low,Low,No,1
58.84,94.29,76.95,2.9,Mid,High,No,0
64.81,71.12,84.07,6.2,Mid,High,Yes,0
57.17,43.49,77.8,5.2,Low,High,Yes,0
71.12,58.93,77.92,4.0,High,Medium,No,0
85.37,67.77,71.38,3.5,High,Low,Yes,0
58.2,93.27,72.68,6.2,Low,Low,No,1
79.06,48.27,65.4,4.2,Mid,High,Yes,0
64.58,81.62,83.46,3.1,Low,Medium,Yes,0
60.9,88.39,57.59,3.7,Low,Medium,Yes,0
70.5,55.94,84.71,6.0,High,Low,Yes,0
57.51,61.56,60.96,1.3,Low,High,No,1
64.25,49.42,84.63,3.8,Low,Low,Yes,0
55.23,62.74,71.46,6.6,Low,High,No,1
99.51,65.41,62.68,4.2,High,High,No,0
72.49,76.55,80.79,5.0,High,Low,Yes,0
62.2,83.44,84.29,6.7,Mid,High,Yes,0
75.0,54.03,70.62,6.3,Mid,High,Yes,0
70.43,34.52,82.21,3.6,Mid,High,No,0
68.91,65.66,52.15,4.2,High,High,No,0
80.6,70.7,61.79,6.3,Mid,Medium,Yes,0
82.61,69.99,87.92,6.4,Low,High,No,1
64.57,60.77,72.76,4.3,Mid,High,Yes,0
63.94,68.0,56.38,4.4,Low,High,Yes,0
68.15,90.25,68.01,5.0,Mid,Low,Yes,0
39.77,72.11,65.77,7.2,High,Medium,Yes,0
50.79,60.03,73.34,6.6,Low,High,No,1
91.14,58.0,71.29,5.9,Low,High,Yes,0
95.03,63.28,76.79,2.3,High,Low,No,0
68.51,92.19,74.31,4.0,Low,Medium,No,1
80.07,63.07,88.6,4.1,Mid,Medium,No,0
76.36,65.68,79.25,7.3,High,Medium,Yes,0
100.0,58.28,79.58,4.0,Low,High,No,1
87.67,83.58,86.65,7.0,High,Medium,Yes,0
70.21,97.36,71.11,3.4,Low,Low,No,1
58.62,73.21,62.38,3.5,Low,Low,Yes,0
49.51,67.32,87.07,5.5,High,High,Yes,0
74.85,66.59,76.36,7.6,Low,High,No,1
61.41,27.85,76.39,4.1,Mid,High,No,0
52.09,77.92,68.67,0.0,Mid,High,No,1
62.95,68.15,68.83,1.4,Low,Low,Yes,0
56.86,72.85,83.47,5.1,Low,High,Yes,0
95.62,54.62,84.85,1.6,Mid,High,Yes,1
84.34,59.85,82.84,2.8,Low,High,No,1
71.89,59.42,82.93,4.5,Low,High,Yes,0
92.72,82.35,80.69,0.0,High,Low,Yes,0
73.08,59.94,76.32,3.7,High,Medium,Yes,0
59.94,99.32,73.25,2.2,Mid,High,Yes,0
93.32,72.89,87.1,1.5,Mid,Low,No,0
79.54,45.59,71.26,2.9,High,Medium,Yes,0
57.48,63.94,78.7,2.4,High,Low,No,0
69.34,55.57,66.96,5.4,Mid,Medium,Yes,0
59.74,30.89,68.41,6.9,Mid,Low,Yes,0
52.64,91.59,72.64,3.8,Mid,High,Yes,0
84.97,77.25,66.96,3.3,High,Medium,No,0
98.73,74.53,82.98,3.7,High,Low,Yes,0
52.42,68.65,61.52,2.3,Low,High,No,1
79.88,43.89,75.99,1.9,Mid,High,Yes,1
62.89,58.26,76.33,1.2,Low,Medium,No,1
65.18,79.47,56.89,1.8,Mid,Low,Yes,0
63.71,49.18,70.59,7.8,High,High,No,0
59.9,25.49,77.56,3.1,Mid,Low,No,0
72.68,62.37,79.29,0.0,Mid,High,Yes,1
60.37,63.73,72.96,3.3,High,High,Yes,0
75.79,68.17,81.77,1.3,High,High,No,1
71.3,77.66,73.91,4.6,Mid,Medium,Yes,0
68.65,76.2,75.14,4.4,Mid,Low,Yes,0
